区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,安德路47号院 ,2室1厅,64.82,500,77137,房本满五年,东北,简装,无电梯,高楼层(共6层)1988年建板楼,,-
东城,化工大院 ,3室1厅,96.26,920,95575,房本满五年,南北,精装,无电梯,高楼层(共7层)1998年建板楼,,-
东城,花市枣苑一期 ,3室2厅,138.42,1300,93918,房本满五年,东北,简装,有电梯,低楼层(共18层)2002年建塔楼,,-
东城,甘雨胡同33号院 ,3室1厅,82.4,1000,121360,房本满五年,南北,简装,无电梯,中楼层(共6层)1989年建板楼,,-
东城,仓南胡同14号院 ,2室1厅,70.6,839,118839,房本满五年,南北,其他,无电梯,中楼层(共6层)1994年建板楼,,-
东城,广渠家园 ,2室2厅,71.27,569,79838,房本满五年,东,精装,无,低楼层(共29层)2009年建板塔结合,,-
东城,和平新城一期 ,2室1厅,126.38,1150,90996,房本满五年,西北,精装,有电梯,低楼层(共19层)2003年建板塔结合,,-
东城,民安小区东扬威街 ,2室1厅,71.4,770,107844,房本满五年,南,其他,有电梯,低楼层(共12层)2002年建板楼,,-
东城,豆瓣胡同 ,2室1厅,69.35,870,125451,房本满五年,西南,精装,有电梯,顶层(共21层)2003年建板楼,,-
东城,西青年沟 ,2室1厅,54.26,495,91228,房本满五年,南北,简装,无电梯,顶层(共6层)1987年建板楼,,-
东城,东直门内大街 ,2室1厅,64.89,680,104793,房本满五年,南北,其他,有电梯,低楼层(共12层)2002年建板楼,,-
东城,安贞苑50号院 ,2室1厅,88.95,860,96684,房本满五年,南北,精装,无电梯,中楼层(共6层)2000年建板楼,,-
东城,安德路47号院 ,3室1厅,70.17,650,92633,房本满五年,南北,简装,无电梯,底层(共7层)1989年建板楼,,-
东城,北京上舍 ,1室0厅,64.68,600,92765,房本满五年,北,精装,有电梯,中楼层(共15层)2008年建塔楼,,-
东城,交道口北二条35号院 ,1室1厅,42.67,565,132412,房本满五年,南,简装,无电梯,高楼层(共6层)1988年建板楼,,-
东城,天坛东里南区 ,2室1厅,50.9,385,75639,房本满五年,南北,简装,有电梯,底层(共11层)1970年建板塔结合,,-
东城,沙子口路65号 ,2室1厅,61.47,387,62958,房本满五年,东西,简装,无,中楼层(共6层)1985年建板楼,,-
东城,安化南里 ,2室1厅,62.99,580,92079,房本满五年,东南北,精装,无电梯,高楼层(共6层)1985年建板楼,,-
