区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,新景家园西区 ,3室1厅,88.72,880,99189,房本满五年,东南西,精装,无电梯,底层(共6层)2004年建板塔结合,,-
东城,前门东大街 ,2室0厅,66.87,635,94961,房本满五年,南北,精装,无,低楼层(共12层)1979年建板塔结合,,-
东城,胡家园小区 ,2室1厅,69.29,598,86304,房本满五年,南,简装,有电梯,高楼层(共17层)1991年建塔楼,,-
东城,青年湖西里 ,2室1厅,56.46,625,110698,房本满五年,南北,简装,无,中楼层(共5层)1993年建板楼,,-
东城,小黄庄一区 ,2室1厅,72.44,635,87659,房本满五年,南,简装,有电梯,低楼层(共21层)1990年建板塔结合,,-
东城,富贵园三区 ,1室1厅,64.76,570,88018,房本满五年,西,简装,有电梯,低楼层(共16层)2002年建塔楼,,-
东城,青年湖南街 ,2室1厅,70.66,847,119870,,东西,精装,有电梯,中楼层(共14层)1996年建板塔结合,,-
东城,新怡家园 ,2室2厅,144.91,2080,143538,,南北,精装,无,低楼层(共13层)2006年建板楼,,-
东城,东厂胡同 ,3室1厅,95.8,995,103863,,南西,简装,无电梯,中楼层(共5层)1987年建板楼,,-
东城,国瑞城中区 ,3室1厅,96.26,1050,109080,,东南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,西革新里110号院 ,1室1厅,41.6,299,71875,,南,简装,无电梯,中楼层(共6层)1993年建板楼,,-
东城,民旺园 ,2室1厅,58.85,610,103654,,南北,精装,无电梯,中楼层(共5层)1985年建板楼,,-
东城,中海紫御公馆 ,2室2厅,88.92,1200,134953,房本满五年,南北,精装,无,顶层(共22层)2010年建板塔结合,,-
东城,和平里二区 ,2室1厅,80.57,828,102768,房本满五年,西南,精装,无,中楼层(共20层)2006年建塔楼,,-
东城,和平里七区 ,2室1厅,58.16,575,98866,房本满五年,南北,其他,无电梯,中楼层(共6层)1982年建板楼,,-
东城,新景家园东区 ,2室1厅,79.98,800,100026,房本满五年,南北,其他,无,中楼层(共12层)2004年建板楼,,-
东城,新怡家园 ,3室1厅,161.5,2050,126935,房本满五年,南北,其他,无,高楼层(共15层)2004年建板楼,,-
东城,国瑞城中区 ,3室1厅,69.47,690,99324,房本满五年,东,精装,有电梯,高楼层(共16层)2006年建板塔结合,,-
东城,东直门内大街 ,2室1厅,64.98,685,105418,房本满五年,南北,简装,有电梯,中楼层(共12层)2002年建板楼,,-
东城,永定门东街东里 ,3室1厅,65.57,470,71680,房本满五年,东西,精装,无电梯,中楼层(共5层)1977年建板楼,,-
东城,桃杨路北里12号院 ,2室1厅,82.25,580,70517,房本满五年,南北,简装,无电梯,低楼层(共6层)1999年建板楼,,-
东城,京宝花园 ,2室1厅,162.24,1000,61638,房本满五年,东西,简装,有电梯,低楼层(共12层)1994年建板楼,,-
东城,小黄庄一区 ,3室1厅,92.68,830,89556,房本满五年,东西,精装,有电梯,高楼层(共21层)1990年建板塔结合,,-
东城,新景家园东区 ,1室1厅,59.28,650,109650,房本满五年,南,精装,有电梯,底层(共18层)2005年建板塔结合,,-
东城,朗家胡同24号院 ,2室1厅,53.03,580,109373,房本满五年,南北,精装,无,低楼层(共6层)1977年建板楼,,-
东城,小经厂胡同 ,2室1厅,53.79,580,107827,房本满五年,南北,精装,无,中楼层(共5层)1982年建板楼,,-
东城,花市东三条 ,2室1厅,51.02,459,89965,房本满五年,东,简装,无电梯,低楼层(共6层)1980年建板楼,,-
东城,新奥洋房 ,2室1厅,95.65,710,74229,房本满五年,东西,其他,无,中楼层(共11层)2005年建板塔结合,,-
东城,官书院 ,6室2厅,231.24,1850,80004,房本满五年,南北,精装,无电梯,底层(共6层)2000年建板楼,,-
东城,富贵园三区 ,2室1厅,76.35,650,85135,房本满五年,东北,简装,有电梯,低楼层(共18层)2002年建塔楼,,-
东城,大方家胡同 ,2室1厅,76.36,730,95600,房本满五年,南北,精装,有电梯,高楼层(共16层)2003年建板塔结合,,-
东城,工体3号 ,1室1厅,104.99,680,64769,房本满五年,东,精装,有电梯,高楼层(共17层)2005年建板塔结合,,-
东城,富贵园四区 ,1室1厅,55.73,613,109995,房本满五年,西,简装,有电梯,高楼层(共10层)2006年建板塔结合,,-
东城,东环居苑 ,2室1厅,78.85,710,90045,房本满五年,西南,其他,有电梯,中楼层(共22层)2004年建塔楼,,-
东城,海晟名苑 ,3室1厅,157.58,2070,131362,房本满五年,南,精装,有电梯,底层(共22层)2003年建板塔结合,,-
东城,新景家园西区 ,2室1厅,93.1,945,101504,房本满五年,西,精装,有电梯,高楼层(共12层)2001年建板塔结合,,-
东城,天娇园 ,2室1厅,73.29,695,94829,,西,精装,有电梯,低楼层(共11层)2007年建板楼,,-
东城,本家润园三期 ,1室1厅,50.86,468,92018,,北,其他,有电梯,中楼层(共18层)2005年建板塔结合,,-
东城,什锦花园胡同21号院 ,3室1厅,62.72,795,126754,,南北,简装,无电梯,中楼层(共5层)1985年建板楼,,-
东城,悠胜美苑 ,1室1厅,70.17,468,66696,,东北,精装,有电梯,顶层(共20层)2003年建板塔结合,,-
东城,新景家园东区 ,1室1厅,56.88,600,105486,,南,简装,有电梯,中楼层(共17层)2004年建板塔结合,,-
东城,朝阳门内大街75号院 ,3室1厅,114.49,1362,118963,,东南,精装,无电梯,中楼层(共5层)1990年建板楼,,-
东城,工体3号 ,1室1厅,69.79,525,75226,房本满五年,西,精装,有电梯,中楼层(共17层)2005年建板塔结合,,-
东城,朝阳门南小街 ,3室1厅,102.98,1150,111673,房本满五年,东西,精装,有电梯,中楼层(共9层)2003年建板楼,,-
东城,花市枣苑三期 ,2室1厅,112.15,1160,103433,房本满五年,西,精装,有电梯,中楼层(共18层)2005年建塔楼,,-
东城,万国城MOMA ,2室2厅,127.31,1350,106041,房本满五年,西北,精装,有电梯,高楼层(共25层)2002年建塔楼,,-
东城,青年湖北里 ,2室1厅,98.71,1000,101307,房本满五年,南北,精装,有电梯,中楼层(共10层)1997年建板塔结合,,-
东城,营房西街 ,2室1厅,58.17,550,94551,房本满五年,南北,精装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,金鱼池西区 ,4室2厅,112.99,880,77883,房本满五年,南北,精装,无电梯,顶层(共6层)2002年建板塔结合,,-
东城,东直门内北小街16号 ,2室2厅,89.62,860,95961,房本满五年,东西,简装,有电梯,中楼层(共10层)2003年建板塔结合,,-
东城,青年湖北里 ,1室1厅,60.76,560,92166,房本满五年,南,简装,有电梯,底层(共18层)1999年建塔楼,,-
东城,民安小区东直门内北小街 ,4室2厅,142.18,1260,88621,房本满五年,东,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,工体西路 ,2室1厅,61.95,565,91203,房本满五年,南北,精装,无电梯,中楼层(共5层)1992年建板楼,,-
东城,朝阳门南小街 ,2室1厅,69.53,780,112182,房本满五年,南北,精装,有电梯,顶层(共10层)2004年建板塔结合,,-
东城,灯市口大街27号院 ,2室1厅,48.53,590,121575,房本满五年,南,毛坯,无,底层(共5层)1986年建板楼,,-
东城,国瑞城东区 ,2室1厅,75.45,715,94765,房本满五年,西北,精装,有电梯,高楼层(共16层)2006年建板塔结合,,-
东城,冠城名敦道 ,1室0厅,68.19,498,73032,房本满五年,东,精装,有电梯,低楼层(共23层)2009年建塔楼,,-
东城,安外花园 ,3室1厅,74.88,699,93350,房本满五年,南北,精装,无电梯,中楼层(共5层)1980年建板楼,,-
东城,水上华城 ,2室2厅,110.67,1170,105720,房本满五年,南北,其他,有电梯,高楼层(共23层)2006年建板塔结合,,-
东城,鼎盛园 ,2室1厅,84.48,608,71970,房本满五年,西,简装,有电梯,中楼层(共11层)2005年建板塔结合,,-
东城,竹杆胡同 ,3室1厅,91.64,900,98211,房本满五年,东西,简装,有电梯,中楼层(共16层)2003年建板塔结合,,-
东城,安外大街 ,3室1厅,81.73,780,95437,房本满五年,东南,简装,有电梯,高楼层(共16层)1994年建板楼,,-
东城,花市东三条 ,2室1厅,51.02,459,89965,房本满五年,东西,简装,无电梯,中楼层(共6层)1980年建板楼,,-
东城,建国门北大街 ,2室1厅,68.84,750,108949,房本满五年,东南东北,简装,有电梯,中楼层(共17层)1990年建塔楼,,-
东城,本家润园一期 ,2室1厅,104.4,1248,119541,房本满五年,南,精装,有电梯,顶层(共11层)2005年建板楼,,-
东城,绿景馨园 ,2室1厅,70.51,660,93604,房本满五年,南北,精装,无电梯,高楼层(共6层)2004年建板楼,,-
东城,东花市北里中区 ,4室3厅,184.3,1350,73251,房本满五年,东南北,简装,无电梯,顶层(共5层)1994年建板楼,,-
东城,竹杆胡同 ,1室1厅,55.47,680,122589,房本满五年,南,简装,无电梯,中楼层(共6层)2003年建板楼,,-
东城,后芳嘉园胡同 ,1室1厅,50.42,630,124951,,南,精装,无电梯,低楼层(共6层)2002年建板楼,,-
东城,广渠门内大街 ,2室1厅,53.18,530,99662,,南北,简装,有电梯,中楼层(共12层)1980年建板塔结合,,-
东城,六铺炕 ,2室1厅,50.34,578,114820,,东,简装,无电梯,低楼层(共6层)1980年建板楼,,-
东城,青年湖东里 ,2室1厅,51.94,490,94340,,东南北,精装,无电梯,顶层(共5层)1980年建板楼,,-
东城,交道口东大街 ,3室1厅,93.23,1180,126569,房本满五年,南北,简装,有电梯,底层(共12层)2003年建板塔结合,,-
东城,金鱼池中区 ,3室1厅,77.19,640,82913,房本满五年,东西,毛坯,无电梯,中楼层(共6层)1987年建板楼,,-
东城,菊儿胡同 ,4室1厅,98.09,1180,120298,房本满五年,南北,简装,无电梯,高楼层(共6层)1987年建板楼,,-
东城,花市枣苑二期 ,1室1厅,72.74,730,100358,房本满五年,西,简装,有电梯,低楼层(共17层)2004年建塔楼,,-
东城,朝阳首府 ,2室1厅,92.65,920,99299,房本满五年,西北,精装,有电梯,低楼层(共15层)2009年建塔楼,,-
东城,华府景园 ,2室2厅,102.87,1050,102071,房本满五年,西,精装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,新怡家园 ,3室2厅,164,2200,134147,房本满五年,南北,精装,有电梯,低楼层(共13层)2006年建板楼,,-
东城,左安浦园 ,2室1厅,97.55,780,79959,房本满五年,西,精装,有电梯,中楼层(共14层)2004年建板楼,,-
东城,交道口北三条 ,2室1厅,56.15,630,112200,房本满五年,南北,其他,无电梯,顶层(共6层)1990年建板楼,,-
东城,海运仓小区 ,2室1厅,66.63,720,108060,房本满五年,南北,简装,无电梯,中楼层(共7层)2002年建板楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,800,98389,房本满五年,东西,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,幸福家园二期 ,3室3厅,123.87,1370,110600,房本满五年,南北,其他,有电梯,中楼层(共14层)2003年建板塔结合,,-
东城,民安小区东羊管胡同 ,2室1厅,76.93,800,103991,房本满五年,南北,简装,有电梯,中楼层(共14层)2002年建板塔结合,,-
东城,法华南里 ,3室2厅,107.03,980,91564,房本满五年,东南北,其他,无电梯,高楼层(共6层)1993年建板楼,,-
东城,胡家园小区 ,3室1厅,82.51,780,94534,房本满五年,南北,精装,有电梯,中楼层(共20层)1992年建塔楼,,-
东城,富莱茵花园 ,2室1厅,119.1,710,59614,房本满五年,东北,简装,有电梯,低楼层(共21层)2002年建塔楼,,-
东城,东花市北里西区 ,2室2厅,131.51,1250,95050,房本满五年,南北,精装,无,中楼层(共7层)1995年建板楼,,-
东城,板厂南里 ,2室1厅,51.14,518,101291,房本满五年,南北,简装,无电梯,中楼层(共5层)1980年建板楼,,-
东城,北京上舍 ,4室2厅,202.45,2050,101260,房本满五年,南北,精装,有电梯,中楼层(共14层)2008年建板楼,,-
东城,民安小区东直门内北小街 ,2室1厅,75.09,799,106406,房本满五年,东,简装,有电梯,高楼层(共14层)2003年建板楼,,-
东城,富贵园二区 ,2室1厅,69.45,650,93593,房本满五年,东南,精装,无,顶层(共18层)2003年建塔楼,,-
东城,巷上嘉园 ,2室1厅,89.63,830,92603,房本满五年,东南北,精装,有电梯,中楼层(共12层)2005年建板塔结合,,-
东城,抽屉胡同 ,2室1厅,58.15,580,99743,房本满五年,南北,简装,无电梯,低楼层(共7层)1980年建板楼,,-
东城,西营房 ,1室1厅,55.75,529,94888,房本满五年,西南,精装,有电梯,中楼层(共19层)2005年建塔楼,,-
东城,光明西里 ,2室0厅,50.36,510,101271,房本满五年,东,简装,无电梯,顶层(共5层)1979年建板楼,,-
东城,华府景园 ,3室1厅,173.4,1700,98040,房本满五年,东南西,精装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,绿景馨园 ,2室1厅,79.1,750,94817,房本满五年,南北,简装,无,底层(共6层)2004年建板楼,,-
东城,香河园街 ,3室1厅,80.95,680,84003,房本满五年,西北,精装,有电梯,中楼层(共16层)1990年建塔楼,,-
东城,外交部街33号院 ,3室1厅,82.41,1050,127412,,南北,简装,无电梯,顶层(共6层)1990年建板楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,820,100849,,东西,简装,无电梯,高楼层(共6层)1990年建板楼,,-
东城,民安小区东直门北中街 ,3室1厅,67.17,685,101981,房本满五年,东南西,简装,无电梯,顶层(共6层)1988年建板楼,,-
东城,胡家园小区 ,3室1厅,75.31,640,84983,房本满五年,东北,精装,有电梯,中楼层(共17层)1991年建塔楼,,-
东城,大方家胡同 ,3室1厅,111.72,1400,125314,房本满五年,南北,精装,有电梯,高楼层(共9层)2003年建板塔结合,,-
东城,新景家园东区 ,2室1厅,73.3,800,109141,房本满五年,南北,精装,有电梯,中楼层(共17层)2005年建板塔结合,,-
东城,琉璃寺胡同 ,3室1厅,68.54,640,93377,房本满五年,南北,精装,无电梯,低楼层(共6层)1998年建板楼,,-
东城,海运仓小区 ,2室1厅,64.45,730,113267,房本满五年,东西,精装,有电梯,中楼层(共8层)2002年建板楼,,-
东城,阳照胡同 ,2室1厅,60.06,630,104896,房本满五年,南北,简装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,革新里小区 ,1室1厅,41.17,290,70440,房本满五年,南,其他,无电梯,高楼层(共6层)1987年建板楼,,-
东城,新景家园东区 ,3室2厅,90.77,930,102457,房本满五年,东西,简装,有电梯,中楼层(共17层)2005年建板塔结合,,-
东城,海晟名苑 ,4室2厅,247.9,3300,133119,房本满五年,南北,精装,有电梯,高楼层(共17层)2004年建板楼,,-
东城,水上华城 ,2室1厅,104.79,1090,104018,房本满五年,东,简装,有电梯,高楼层(共23层)2006年建板塔结合,,-
东城,西革新里124号 ,2室1厅,57.38,355,61869,房本满五年,东西,简装,无电梯,顶层(共6层)1981年建板楼,,-
东城,青年湖东里 ,2室1厅,63.79,585,91708,房本满五年,南,精装,有电梯,中楼层(共18层)1988年建塔楼,,-
东城,青年湖南街 ,2室1厅,69.32,660,95211,房本满五年,东西,简装,有电梯,顶层(共10层)1992年建板塔结合,,-
东城,冠城名敦道 ,1室0厅,76.75,505,65799,房本满五年,东,简装,有电梯,中楼层(共23层)2009年建塔楼,,-
东城,北河沿大街 ,2室1厅,58.73,695,118339,房本满五年,南北,简装,无电梯,顶层(共6层)1987年建板楼,,-
东城,广渠门内大街 ,3室1厅,77.91,750,96265,房本满五年,南北,精装,有电梯,低楼层(共14层)1987年建板塔结合,,-
东城,东交民巷32号院 ,3室1厅,71.28,784,109989,房本满五年,南北,其他,有电梯,中楼层(共13层)1979年建板塔结合,,-
东城,万国城MOMA ,3室1厅,140.06,1600,114237,房本满五年,西北,精装,有电梯,中楼层(共26层)2004年建塔楼,,-
东城,大方家胡同 ,2室1厅,76.42,770,100759,房本满五年,南北,简装,有电梯,低楼层(共16层)2003年建板塔结合,,-
东城,金桥国际 ,1室1厅,61.03,499,81764,房本满五年,西,精装,有电梯,中楼层(共19层)2004年建塔楼,,-
东城,豆瓣胡同 ,3室1厅,86.2,1180,136891,房本满五年,南北,简装,有电梯,低楼层(共12层)2003年建板楼,,-
东城,仓南胡同14号院 ,3室1厅,83.51,999,119627,房本满五年,南北,精装,无电梯,顶层(共6层)1993年建板楼,,-
东城,十字坡东里 ,2室1厅,57.47,520,90482,房本满五年,东西,毛坯,无电梯,顶层(共6层)1986年建板楼,,-
东城,安定路 ,3室1厅,80.25,785,97820,房本满五年,东西北,简装,有电梯,高楼层(共20层)1995年建塔楼,,-
东城,东直门内北小街16号 ,2室2厅,90.38,860,95154,房本满五年,东西,简装,有电梯,底层(共10层)2003年建板塔结合,,-
东城,冠城名敦道 ,1室1厅,60.99,520,85260,房本满五年,南,精装,无,中楼层(共23层)2009年建塔楼,,-
东城,新中西街 ,1室1厅,44.71,428,95729,房本满五年,西,精装,无电梯,中楼层(共7层)1990年建板楼,,-
东城,冠城名敦道 ,1室1厅,60.99,520,85260,房本满五年,南,精装,无,中楼层(共23层)2009年建塔楼,,-
东城,金鱼池西区 ,4室2厅,135.05,1000,74047,,南北,精装,无电梯,顶层(共6层)2003年建板塔结合,,-
东城,东直门内北小街8号院 ,2室1厅,86.56,980,113217,房本满五年,西南,精装,有电梯,中楼层(共13层)2003年建板塔结合,,-
东城,本家润园三期 ,1室1厅,47.86,450,94025,房本满五年,北,简装,有电梯,高楼层(共18层)2005年建塔楼,,-
东城,竹杆胡同 ,2室1厅,68.05,780,114622,房本满五年,西南,精装,有电梯,顶层(共8层)2003年建板楼,,-
东城,安定路 ,2室1厅,61.72,540,87492,房本满五年,东南南北,精装,有电梯,底层(共20层)1993年建塔楼,,-
东城,青年湖东里 ,3室1厅,67,630,94030,房本满五年,东西,简装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,水上华城 ,2室1厅,102.54,1050,102400,房本满五年,东北,精装,有电梯,顶层(共23层)2005年建板塔结合,,-
东城,交道口东大街 ,2室1厅,77.8,990,127250,房本满五年,东南,精装,有电梯,中楼层(共12层)2003年建板塔结合,,-
东城,建国门北大街 ,2室1厅,68.84,750,108949,房本满五年,东南,精装,有电梯,中楼层(共17层)1990年建塔楼,,-
东城,民旺园十九号院 ,2室2厅,79.59,760,95490,房本满五年,南北,简装,无电梯,高楼层(共7层)2000年建板楼,,-
东城,景泰嘉园 ,2室1厅,108.75,780,71725,房本满五年,西,简装,有电梯,中楼层(共11层)2001年建板塔结合,,-
东城,广渠门内大街 ,3室1厅,74.1,700,94467,房本满五年,东北,精装,有电梯,高楼层(共16层)1985年建塔楼,,-
东城,崇文门东大街 ,2室1厅,59.97,600,100051,房本满五年,南北,其他,有电梯,中楼层(共14层)1980年建板楼,,-
东城,培新街乙5号院 ,2室1厅,83.64,835,99833,房本满五年,西北,精装,无,中楼层(共17层)1999年建塔楼,,-
东城,东营房八条 ,2室1厅,55.42,485,87514,房本满五年,西北,简装,无电梯,顶层(共6层)1995年建板楼,,-
东城,灯笼库胡同 ,3室1厅,93.43,1395,149310,房本满五年,西,简装,无,底层(共2层)2003年建,,-
东城,冠城名敦道 ,1室0厅,83.36,650,77976,房本满五年,西南,精装,有电梯,中楼层(共23层)2009年建塔楼,,-
东城,海运仓南里一区 ,2室1厅,78.14,750,95982,房本满五年,东西,精装,无电梯,底层(共6层)1998年建板楼,,-
东城,宝润苑 ,4室2厅,266.93,1750,65561,房本满五年,东西,简装,有电梯,低楼层(共14层)1999年建板塔结合,,-
东城,左安漪园 ,3室1厅,123.92,1090,87960,房本满五年,东北,精装,有电梯,中楼层(共15层)2004年建板塔结合,,-
东城,永定门外大街 ,2室1厅,50.01,385,76985,房本满五年,东,简装,无电梯,顶层(共6层)1983年建板楼,,-
东城,西营房 ,2室1厅,85.12,800,93985,房本满五年,东,其他,有电梯,低楼层(共19层)2006年建塔楼,,-
东城,金世纪嘉园 ,3室1厅,132.33,1250,94461,房本满五年,南,简装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,国瑞城中区 ,3室2厅,139.36,1758,126149,房本满五年,东南,精装,有电梯,中楼层(共16层)2006年建板楼,,-
东城,青年湖南街 ,3室1厅,78.97,947,119919,房本满五年,南西,精装,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,幸福家园一期 ,3室2厅,139.69,1520,108813,房本满五年,南北,精装,有电梯,低楼层(共12层)2002年建板塔结合,,-
东城,雍和家园一期 ,3室1厅,171.17,1710,99901,房本满五年,南北,其他,无,高楼层(共16层)2001年建板塔结合,,-
东城,金世纪嘉园 ,1室1厅,78.4,750,95664,房本满五年,东南,简装,有电梯,中楼层(共18层)2003年建塔楼,,-
东城,国瑞城东区 ,1室1厅,58.18,610,104848,,南,简装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,天天家园 ,1室1厅,66.55,495,74381,,西北,简装,有电梯,低楼层(共11层)2002年建板塔结合,,-
东城,西总布胡同55号院 ,2室1厅,55.06,578,104977,,南北,简装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,悠胜美苑 ,3室2厅,70.17,816,116290,房本满五年,东北,精装,有电梯,中楼层(共20层)2003年建板塔结合,,-
东城,中海紫御公馆 ,3室2厅,207.38,2480,119588,房本满五年,南北,精装,有电梯,中楼层(共21层)2010年建板塔结合,,-
东城,水上华城 ,1室1厅,66.57,680,102149,房本满五年,南西,精装,有电梯,中楼层(共20层)2004年建板塔结合,,-
东城,本家润园三期 ,1室1厅,50.86,469,92214,房本满五年,北,精装,无,低楼层(共18层)2005年建板塔结合,,-
东城,美术馆后街 ,1室1厅,50.27,598,118958,房本满五年,南,精装,无,顶层(共13层)1989年建塔楼,,-
东城,安定路 ,2室1厅,44.2,410,92761,房本满五年,南,其他,有电梯,底层(共20层)1993年建塔楼,,-
东城,金世纪嘉园 ,2室1厅,75.55,678,89742,房本满五年,东南,简装,有电梯,低楼层(共21层)2005年建塔楼,,-
东城,东皇城根北街40号院 ,2室1厅,55.68,680,122127,房本满五年,东西,其他,无,中楼层(共6层)板楼,,-
东城,青年湖南街 ,1室1厅,52.09,625,119985,房本满五年,南北,简装,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,兴隆都市馨园 ,1室0厅,32.84,348,105969,房本满五年,南,简装,有电梯,顶层(共7层)2004年建塔楼,,-
东城,朝阳门南小街 ,2室1厅,69.3,820,118327,房本满五年,南,精装,有电梯,高楼层(共10层)2004年建板塔结合,,-
东城,外交部街 ,2室1厅,52.17,550,105425,房本满五年,南,简装,无电梯,高楼层(共6层)1990年建板楼,,-
东城,东环居苑 ,2室1厅,84.02,800,95216,房本满五年,西南,精装,有电梯,中楼层(共18层)2004年建塔楼,,-
东城,民安小区东直门内北小街 ,2室1厅,77.21,799,103485,房本满五年,西,精装,有电梯,低楼层(共16层)2003年建板楼,,-
东城,海晟名苑 ,3室1厅,209.4,2720,129895,房本满五年,南北,精装,有电梯,中楼层(共20层)2004年建板楼,,-
东城,幸福家园三期 ,3室1厅,130.01,1100,84609,房本满五年,南,简装,有电梯,低楼层(共12层)2005年建板塔结合,,-
东城,国祥胡同4号院 ,2室1厅,56.73,660,116341,房本满五年,南北,简装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,建国门北大街5号 ,5室2厅,228.71,1290,56404,房本满五年,西,简装,有电梯,低楼层(共24层)2008年建塔楼,,-
东城,贡院六号 ,1室1厅,123.71,1420,114785,房本满五年,东南,精装,有电梯,高楼层(共23层)2002年建塔楼,,-
东城,管村26号院 ,2室1厅,65.8,350,53192,房本满五年,南北,简装,无电梯,地下室(共6层)1997年建板楼,,-
东城,阳光都市 ,4室2厅,307.68,3300,107255,房本满五年,东南,精装,有电梯,顶层(共24层)2000年建塔楼,,-
东城,水上华城 ,2室1厅,75.18,780,103751,房本满五年,东,精装,有电梯,高楼层(共22层)2006年建板塔结合,,-
东城,国瑞城中区 ,2室1厅,83.06,750,90297,房本满五年,西南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,朝阳门内大街 ,3室1厅,86.1,795,92335,房本满五年,南北,精装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,幸福南里 ,3室2厅,125.03,1100,87979,房本满五年,南北,精装,无电梯,顶层(共4层)1965年建板楼,,-
东城,豆瓣胡同 ,2室1厅,71.44,920,128780,房本满五年,南,简装,有电梯,低楼层(共21层)2003年建板楼,,-
东城,化工大院 ,2室1厅,54.65,550,100641,房本满五年,东西,精装,无电梯,顶层(共5层)1988年建板楼,,-
东城,新景家园东区 ,2室1厅,81.44,850,104372,,南北,精装,有电梯,底层(共18层)2005年建板塔结合,,-
东城,新奥洋房 ,5室2厅,175.81,1230,69962,,东西,简装,无,顶层(共11层)2005年建板塔结合,,-
东城,胡家园小区 ,1室1厅,42.26,400,94653,,南,简装,无电梯,中楼层(共6层)1985年建板楼,,-
东城,东花市北里中区 ,2室1厅,67.13,520,77462,房本满五年,西,简装,无电梯,高楼层(共6层)1994年建塔楼,,-
东城,广渠家园 ,2室1厅,60.31,550,91196,房本满五年,南北,简装,有电梯,低楼层(共29层)2009年建板塔结合,,-
东城,国祥胡同4号院 ,3室1厅,68.62,760,110755,房本满五年,南北,简装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,安贞苑50号院 ,3室1厅,128.36,1280,99720,房本满五年,南北,简装,无电梯,低楼层(共6层)2000年建板楼,,-
东城,兴化西里 ,2室1厅,61.85,620,100243,房本满五年,南,精装,无电梯,中楼层(共5层)1976年建板楼,,-
东城,豆瓣胡同 ,2室1厅,71.44,920,128780,房本满五年,南,简装,有电梯,低楼层(共21层)2003年建板楼,,-
